Project_Name;Class_Name;Release_ID;Size_LOC;N_Methods;NR_Release;NR_Total;Nfix_Release;Nfix_Total;Nauth_Release;Nauth_Total;MAX_LOC_Added_Release;Churn_Release;Churn_Total;AVG_Churn_Release;MAX_ChgSet_Release;N_Multi_Release;Sum_Multi_ChgSet_Release;Age_Weeks;Weighted_Age;ND;Entropy;Exp;Historical_Bug_Density;NSmells;Bugginess
ZOOKEEPER;src/java/jmx/org/apache/zookeeper/server/quorum/ObservableFollower.java;1;46;5;7;7;6;6;2;2;76;96;96;13.71;229;7;862;20;1920.00;11.71;2.48;10.57;0.857;1;NO
ZOOKEEPER;src/java/jmx/org/apache/zookeeper/jmx/server/ZooKeeperServerMXBean.java;1;15;12;7;7;6;6;2;2;72;86;86;12.29;229;7;862;20;1720.00;11.71;2.48;10.57;0.857;0;NO
ZOOKEEPER;src/java/main/org/apache/zookeeper/server/persistence/Util.java;1;148;17;3;3;3;3;3;3;336;369;369;123.00;35;3;50;3;1107.00;4.33;1.83;32.33;1.000;9;YES
ZOOKEEPER;src/java/main/org/apache/zookeeper/server/persistence/FileTxnSnapLog.java;1;121;12;4;4;4;4;3;3;236;262;262;65.50;35;4;65;3;786.00;4.25;2.22;45.50;1.000;8;YES
ZOOKEEPER;src/java/main/org/apache/zookeeper/ClientCnxn.java;1;825;37;32;32;20;20;6;6;844;4961;4961;155.03;229;28;1460;51;253011.00;5.47;2.00;20.59;0.625;41;YES
ZOOKEEPER;src/java/main/org/apache/zookeeper/server/quorum/QuorumPeerConfig.java;1;192;10;17;17;13;13;4;4;210;1526;1526;89.76;229;15;1188;35;53410.00;7.35;1.97;25.82;0.765;8;YES
ZOOKEEPER;docs/zookeeperOver.html;1;527;0;0;0;0;0;0;0;0;0;0;0.00;0;0;0;0;0.00;0.00;0.00;0.00;0.000;35;NO
ZOOKEEPER;src/java/main/org/apache/jute/compiler/JRecord.java;1;439;19;11;11;8;8;4;4;506;530;530;48.18;229;11;1060;51;27030.00;8.73;1.34;7.27;0.727;49;NO
ZOOKEEPER;src/java/main/org/apache/jute/compiler/generated/ParseException.java;1;110;5;8;8;7;7;2;2;210;212;212;26.50;229;8;1036;51;10812.00;11.38;1.42;5.00;0.875;15;NO
ZOOKEEPER;src/java/main/org/apache/jute/Utils.java;1;189;12;9;9;8;8;3;3;276;284;284;31.56;229;9;1038;51;14484.00;10.22;1.26;5.67;0.889;27;YES
ZOOKEEPER;docs/skin/print.css;1;32;0;0;0;0;0;0;0;0;0;0;0.00;0;0;0;0;0.00;0.00;0.00;0.00;0.000;0;NO
ZOOKEEPER;src/java/jmx/org/apache/zookeeper/server/ManagedZooKeeperServer.java;1;72;6;10;10;9;9;3;3;138;235;235;23.50;229;10;954;20;4700.00;10.60;2.89;16.00;0.900;1;NO
ZOOKEEPER;src/docs/src/documentation/content/xdocs/zookeeperAdmin.xml;1;673;0;0;0;0;0;0;0;0;0;0;0.00;0;0;0;0;0.00;0.00;0.00;0.00;0.000;0;NO
ZOOKEEPER;src/java/jmx/org/apache/zookeeper/jmx/CommonNames.java;1;6;0;7;7;6;6;2;2;27;43;43;6.14;229;7;862;20;860.00;11.71;2.48;10.57;0.857;2;NO
ZOOKEEPER;src/java/main/org/apache/zookeeper/server/ServerStats.java;1;107;23;9;9;9;9;3;3;135;156;156;17.33;229;9;1102;29;4524.00;11.67;2.25;15.56;1.000;15;NO
ZOOKEEPER;src/java/main/org/apache/zookeeper/ClientWatchManager.java;1;5;1;3;3;3;3;2;2;41;49;49;16.33;26;3;41;4;196.00;2.33;2.18;36.00;1.000;0;YES
ZOOKEEPER;src/java/main/org/apache/jute/compiler/JInt.java;1;9;2;8;8;7;7;2;2;35;37;37;4.63;229;8;1036;51;1887.00;11.38;1.42;5.00;0.875;0;NO
ZOOKEEPER;src/java/main/org/apache/zookeeper/AsyncCallback.java;1;27;6;9;9;7;7;3;3;50;76;76;8.44;229;9;1131;51;3876.00;11.44;2.41;7.00;0.778;1;NO
ZOOKEEPER;src/java/main/org/apache/jute/compiler/generated/Rcc.java;1;475;29;9;9;8;8;2;2;519;575;575;63.89;229;9;1044;51;29325.00;10.44;1.50;7.11;0.889;133;NO
ZOOKEEPER;src/java/main/org/apache/zookeeper/server/quorum/Leader.java;1;374;19;20;20;14;14;6;6;506;995;995;49.75;229;20;1366;51;50745.00;7.40;2.60;20.40;0.700;39;YES
ZOOKEEPER;src/java/main/org/apache/zookeeper/server/quorum/AckRequestProcessor.java;1;14;3;8;8;7;7;2;2;43;63;63;7.88;229;8;1115;51;3213.00;12.25;2.24;4.63;0.875;0;NO
ZOOKEEPER;src/java/jmx/org/apache/zookeeper/jmx/server/quorum/LeaderBean.java;1;6;1;7;7;6;6;2;2;27;41;41;5.86;229;7;862;20;820.00;11.71;2.48;10.57;0.857;0;NO
ZOOKEEPER;src/java/main/org/apache/zookeeper/server/persistence/FileSnap.java;1;95;6;5;5;5;5;3;3;134;181;181;36.20;35;5;58;3;543.00;3.40;1.59;50.20;1.000;2;YES
ZOOKEEPER;src/java/jmx/org/apache/zookeeper/server/quorum/ObservableQuorumPeer.java;1;71;9;11;11;10;10;3;3;107;217;217;19.73;229;11;970;20;4340.00;9.91;2.87;18.45;0.909;0;YES
ZOOKEEPER;src/java/jmx/org/apache/zookeeper/server/ObservableDataTree.java;1;77;8;8;8;7;7;3;3;111;145;145;18.13;229;8;880;20;2900.00;10.75;2.51;11.63;0.875;0;NO
ZOOKEEPER;src/java/main/org/apache/zookeeper/server/ZooKeeperServer.java;1;425;57;30;30;19;19;6;6;927;8938;8938;297.93;229;28;1527;51;455838.00;6.43;2.41;23.00;0.633;30;YES
