Dataset,Release_ID,Classifier,FS,Balancing,Precision,Recall,AUC,Kappa,NPofB20,Valid_Repetitions
ZooKeeper,10,NaiveBayes,Yes,Yes,0.6651,0.7444,0.9402,0.6403,0.2806,10
ZooKeeper,11,NaiveBayes,Yes,Yes,0.6418,0.5294,0.6597,0.1695,0.1529,10
ZooKeeper,12,NaiveBayes,Yes,Yes,0.8114,0.6383,0.8404,0.5490,0.1483,10
ZooKeeper,14,NaiveBayes,Yes,Yes,1.0000,1.0000,1.0000,1.0000,0.5333,10
ZooKeeper,15,NaiveBayes,Yes,Yes,0.8410,0.8417,0.7736,0.2163,0.1667,10
ZooKeeper,16,NaiveBayes,Yes,Yes,0.8154,0.7792,0.5175,-0.0917,0.1167,10
ZooKeeper,17,NaiveBayes,Yes,Yes,0.8379,0.8250,0.9238,0.7230,0.2125,10
ZooKeeper,18,NaiveBayes,Yes,Yes,0.7828,0.8417,0.8602,0.5377,0.2333,10
ZooKeeper,19,NaiveBayes,Yes,Yes,0.8333,0.7500,0.6125,0.4304,0.1875,10
ZooKeeper,21,NaiveBayes,Yes,Yes,0.8707,0.5448,0.7231,0.3835,0.1241,10
ZooKeeper,1,IBk,No,No,0.8951,0.8143,0.8917,0.7896,0.3327,10
ZooKeeper,2,IBk,No,No,0.7179,0.6375,0.6500,0.2988,0.3000,10
ZooKeeper,3,IBk,No,No,0.6813,0.6476,0.7207,0.4462,0.1833,10
ZooKeeper,4,IBk,No,No,0.8862,0.9750,0.5500,-0.0285,0.2625,10
ZooKeeper,5,IBk,No,No,0.7561,0.6787,0.7659,0.5497,0.2426,10
ZooKeeper,7,IBk,No,No,0.8072,0.7500,0.6844,0.3549,0.2059,10
ZooKeeper,8,IBk,No,No,0.6776,0.5610,0.7239,0.4586,0.2317,10
ZooKeeper,9,IBk,No,No,0.8125,0.6833,0.8187,0.6242,0.3083,10
ZooKeeper,10,IBk,No,No,0.6931,0.6889,0.8168,0.6304,0.2806,10
ZooKeeper,11,IBk,No,No,0.7521,0.9000,0.7807,0.5554,0.2706,10
ZooKeeper,12,IBk,No,No,0.7655,0.6567,0.7556,0.5232,0.2000,10
ZooKeeper,14,IBk,No,No,1.0000,1.0000,1.0000,1.0000,0.6000,10
ZooKeeper,15,IBk,No,No,0.9098,0.8417,0.7903,0.4583,0.2083,10
ZooKeeper,16,IBk,No,No,0.8694,0.8333,0.6375,0.2185,0.2083,10
ZooKeeper,17,IBk,No,No,0.7869,0.7125,0.7960,0.5986,0.2125,10
ZooKeeper,18,IBk,No,No,0.9182,0.8333,0.8657,0.7222,0.2333,10
ZooKeeper,19,IBk,No,No,0.7500,0.7500,0.6688,0.2500,0.3125,10
ZooKeeper,21,IBk,No,No,0.6944,0.6621,0.5998,0.2148,0.1759,10
ZooKeeper,1,IBk,No,Yes,0.8602,0.8388,0.8917,0.7814,0.3286,10
ZooKeeper,2,IBk,No,Yes,0.7148,0.5250,0.6083,0.2313,0.2750,10
ZooKeeper,3,IBk,No,Yes,0.6679,0.6810,0.7253,0.4504,0.1857,10
ZooKeeper,5,IBk,No,Yes,0.7547,0.7128,0.7849,0.5712,0.2426,10
ZooKeeper,7,IBk,No,Yes,0.8021,0.7265,0.6912,0.3282,0.2324,10
ZooKeeper,8,IBk,No,Yes,0.6784,0.6195,0.7554,0.4952,0.2415,10
ZooKeeper,9,IBk,No,Yes,0.8195,0.7167,0.8433,0.6530,0.3083,10
ZooKeeper,10,IBk,No,Yes,0.6939,0.7111,0.8346,0.6430,0.2778,10
ZooKeeper,11,IBk,No,Yes,0.7576,0.8294,0.7779,0.5136,0.2647,10
ZooKeeper,12,IBk,No,Yes,0.7382,0.7050,0.7646,0.5286,0.2033,10
ZooKeeper,14,IBk,No,Yes,1.0000,1.0000,1.0000,1.0000,0.6000,10
ZooKeeper,15,IBk,No,Yes,0.9062,0.8083,0.7833,0.4139,0.2083,10
ZooKeeper,16,IBk,No,Yes,0.8664,0.8125,0.7167,0.1937,0.2250,10
ZooKeeper,17,IBk,No,Yes,0.7831,0.7188,0.8090,0.5996,0.2000,10
ZooKeeper,18,IBk,No,Yes,0.9182,0.8333,0.8593,0.7222,0.2333,10
ZooKeeper,19,IBk,No,Yes,0.7393,0.7125,0.6531,0.2103,0.2875,10
ZooKeeper,21,IBk,No,Yes,0.7082,0.6397,0.6128,0.2312,0.1741,10
ZooKeeper,1,IBk,Yes,No,0.8045,0.7959,0.8695,0.7090,0.3102,10
ZooKeeper,2,IBk,Yes,No,0.7500,0.7125,0.6750,0.3929,0.2000,10
ZooKeeper,3,IBk,Yes,No,0.7459,0.6619,0.7620,0.5180,0.2119,10
ZooKeeper,4,IBk,Yes,No,0.8824,0.9375,0.5500,-0.0800,0.2625,10
ZooKeeper,5,IBk,Yes,No,0.7349,0.6830,0.7638,0.5329,0.2426,10
ZooKeeper,7,IBk,Yes,No,0.7878,0.7765,0.6667,0.3318,0.1971,10
ZooKeeper,8,IBk,Yes,No,0.6866,0.5610,0.7295,0.4656,0.2122,10
ZooKeeper,9,IBk,Yes,No,0.9042,0.7917,0.9219,0.7703,0.3083,10
ZooKeeper,10,IBk,Yes,No,0.7552,0.6806,0.8250,0.6627,0.3028,10
ZooKeeper,11,IBk,Yes,No,0.7214,0.7588,0.7006,0.4041,0.2471,10
ZooKeeper,12,IBk,Yes,No,0.8046,0.7917,0.8303,0.6550,0.2317,10
ZooKeeper,14,IBk,Yes,No,1.0000,1.0000,1.0000,1.0000,0.6000,10
ZooKeeper,15,IBk,Yes,No,0.7953,0.8083,0.6194,-0.0271,0.2250,10
ZooKeeper,16,IBk,Yes,No,0.8798,0.8542,0.6275,0.2805,0.2125,10
ZooKeeper,17,IBk,Yes,No,0.8716,0.7938,0.8623,0.7249,0.2313,10
ZooKeeper,18,IBk,Yes,No,0.8378,0.7250,0.7579,0.5247,0.2083,10
ZooKeeper,19,IBk,Yes,No,0.8538,0.8625,0.8406,0.5646,0.3125,10
ZooKeeper,21,IBk,Yes,No,0.7265,0.8034,0.6803,0.3499,0.1983,10
ZooKeeper,1,IBk,Yes,Yes,0.7933,0.8367,0.8830,0.7258,0.3204,10
ZooKeeper,2,IBk,Yes,Yes,0.7064,0.5875,0.5875,0.2650,0.1625,10
ZooKeeper,3,IBk,Yes,Yes,0.7248,0.7190,0.7684,0.5341,0.2119,10
ZooKeeper,5,IBk,Yes,Yes,0.7214,0.7340,0.7842,0.5512,0.2532,10
ZooKeeper,7,IBk,Yes,Yes,0.7953,0.7324,0.6727,0.3193,0.2265,10
ZooKeeper,8,IBk,Yes,Yes,0.6530,0.5951,0.7381,0.4597,0.2220,10
ZooKeeper,9,IBk,Yes,Yes,0.8818,0.8000,0.9158,0.7595,0.3083,10
ZooKeeper,10,IBk,Yes,Yes,0.7507,0.7417,0.8641,0.6958,0.3139,10
ZooKeeper,11,IBk,Yes,Yes,0.7190,0.6824,0.6897,0.3597,0.2294,10
ZooKeeper,12,IBk,Yes,Yes,0.7777,0.8083,0.8257,0.6392,0.2333,10
ZooKeeper,14,IBk,Yes,Yes,1.0000,1.0000,1.0000,1.0000,0.6000,10
ZooKeeper,15,IBk,Yes,Yes,0.8361,0.8083,0.7444,0.1693,0.2250,10
ZooKeeper,16,IBk,Yes,Yes,0.8730,0.7750,0.6404,0.1985,0.2333,10
ZooKeeper,17,IBk,Yes,Yes,0.8648,0.8313,0.8809,0.7484,0.2188,10
ZooKeeper,18,IBk,Yes,Yes,0.8378,0.7250,0.7551,0.5247,0.2167,10
ZooKeeper,19,IBk,Yes,Yes,0.8401,0.7750,0.7563,0.4599,0.2875,10
ZooKeeper,21,IBk,Yes,Yes,0.7488,0.7603,0.6901,0.3694,0.1983,10
