Dataset,Release_ID,Classifier,FS,Balancing,Precision,Recall,AUC,Kappa,NPofB20,Valid_Repetitions
ZooKeeper,11,NaiveBayes,Yes,No,0.5415,0.5771,0.8937,0.5146,0.4042,10
ZooKeeper,12,NaiveBayes,Yes,No,0.6937,0.7475,0.9396,0.6657,0.3639,10
ZooKeeper,13,NaiveBayes,Yes,No,0.5939,0.5222,0.8329,0.5025,0.3667,10
ZooKeeper,14,NaiveBayes,Yes,No,0.5025,0.5152,0.8434,0.4427,0.3674,10
ZooKeeper,15,NaiveBayes,Yes,No,0.6099,0.5094,0.8326,0.4932,0.3755,10
ZooKeeper,16,NaiveBayes,Yes,No,0.7187,0.5827,0.8666,0.5958,0.3808,10
ZooKeeper,17,NaiveBayes,Yes,No,0.6370,0.5180,0.8649,0.5186,0.4220,10
ZooKeeper,18,NaiveBayes,Yes,No,0.5992,0.5571,0.8828,0.5220,0.3490,10
ZooKeeper,19,NaiveBayes,Yes,No,0.6543,0.5491,0.8307,0.5434,0.3528,10
ZooKeeper,20,NaiveBayes,Yes,No,0.6831,0.3736,0.7102,0.3926,0.2138,10
ZooKeeper,21,NaiveBayes,Yes,No,0.6411,0.3881,0.7478,0.3718,0.1990,10
ZooKeeper,1,NaiveBayes,Yes,Yes,0.7112,0.4980,0.9280,0.4863,0.3122,10
ZooKeeper,2,NaiveBayes,Yes,Yes,0.5810,0.3423,0.7659,0.3716,0.3769,10
ZooKeeper,3,NaiveBayes,Yes,Yes,0.7341,0.5478,0.8744,0.5492,0.3326,10
ZooKeeper,4,NaiveBayes,Yes,Yes,0.7180,0.4846,0.8386,0.4837,0.3635,10
ZooKeeper,5,NaiveBayes,Yes,Yes,0.7130,0.5556,0.8590,0.5442,0.3481,10
ZooKeeper,6,NaiveBayes,Yes,Yes,0.8335,0.5978,0.8608,0.6459,0.5196,10
ZooKeeper,7,NaiveBayes,Yes,Yes,0.5893,0.6191,0.8183,0.5225,0.4085,10
ZooKeeper,8,NaiveBayes,Yes,Yes,0.6586,0.5000,0.8577,0.5040,0.4020,10
ZooKeeper,9,NaiveBayes,Yes,Yes,0.4991,0.4939,0.7897,0.4103,0.3755,10
ZooKeeper,10,NaiveBayes,Yes,Yes,0.5862,0.4962,0.8385,0.4918,0.4019,10
ZooKeeper,11,NaiveBayes,Yes,Yes,0.5511,0.6125,0.8993,0.5373,0.4146,10
ZooKeeper,12,NaiveBayes,Yes,Yes,0.6681,0.7902,0.9412,0.6680,0.3607,10
ZooKeeper,13,NaiveBayes,Yes,Yes,0.5712,0.5289,0.8365,0.4935,0.3800,10
ZooKeeper,14,NaiveBayes,Yes,Yes,0.4933,0.5500,0.8470,0.4527,0.3957,10
ZooKeeper,15,NaiveBayes,Yes,Yes,0.6260,0.5396,0.8344,0.5199,0.3943,10
ZooKeeper,16,NaiveBayes,Yes,Yes,0.7306,0.5981,0.8606,0.6116,0.4308,10
ZooKeeper,17,NaiveBayes,Yes,Yes,0.6111,0.5300,0.8664,0.5123,0.4140,10
ZooKeeper,18,NaiveBayes,Yes,Yes,0.5780,0.5633,0.8853,0.5130,0.3837,10
ZooKeeper,19,NaiveBayes,Yes,Yes,0.6524,0.5623,0.8352,0.5505,0.3981,10
ZooKeeper,20,NaiveBayes,Yes,Yes,0.6800,0.3954,0.7138,0.4085,0.2632,10
ZooKeeper,21,NaiveBayes,Yes,Yes,0.6423,0.4208,0.7482,0.3957,0.2050,10
ZooKeeper,1,IBk,No,No,0.8659,0.8408,0.9167,0.8089,0.5102,10
ZooKeeper,2,IBk,No,No,0.5787,0.4615,0.7407,0.4522,0.4885,10
ZooKeeper,3,IBk,No,No,0.6082,0.5565,0.7640,0.4811,0.4022,10
ZooKeeper,4,IBk,No,No,0.5373,0.5808,0.7399,0.4209,0.3346,10
ZooKeeper,5,IBk,No,No,0.6717,0.6204,0.7888,0.5601,0.4481,10
ZooKeeper,6,IBk,No,No,0.6998,0.7239,0.8470,0.6514,0.5826,10
ZooKeeper,7,IBk,No,No,0.5807,0.5830,0.7704,0.4981,0.5723,10
ZooKeeper,8,IBk,No,No,0.5963,0.5400,0.7545,0.4947,0.4640,10
ZooKeeper,9,IBk,No,No,0.5751,0.5265,0.7502,0.4765,0.4878,10
ZooKeeper,10,IBk,No,No,0.6029,0.5151,0.7623,0.5115,0.5132,10
ZooKeeper,11,IBk,No,No,0.5749,0.5438,0.7821,0.5174,0.5500,10
ZooKeeper,12,IBk,No,No,0.7858,0.6902,0.8546,0.6899,0.5098,10
ZooKeeper,13,IBk,No,No,0.6313,0.6533,0.8439,0.5949,0.5444,10
ZooKeeper,14,IBk,No,No,0.6660,0.6674,0.8417,0.6225,0.5391,10
ZooKeeper,15,IBk,No,No,0.6072,0.5340,0.7810,0.5063,0.4660,10
ZooKeeper,16,IBk,No,No,0.6213,0.5808,0.7910,0.5420,0.4923,10
ZooKeeper,17,IBk,No,No,0.6383,0.5840,0.8008,0.5578,0.4880,10
ZooKeeper,18,IBk,No,No,0.6441,0.5694,0.7959,0.5547,0.4653,10
ZooKeeper,19,IBk,No,No,0.6260,0.5302,0.7902,0.5168,0.4358,10
ZooKeeper,20,IBk,No,No,0.6896,0.6506,0.8126,0.5845,0.4782,10
ZooKeeper,21,IBk,No,No,0.6076,0.6257,0.7804,0.4961,0.3921,10
ZooKeeper,1,IBk,No,Yes,0.8505,0.8449,0.9154,0.8010,0.5061,10
ZooKeeper,2,IBk,No,Yes,0.5436,0.5000,0.7839,0.4545,0.5000,10
ZooKeeper,3,IBk,No,Yes,0.5907,0.5804,0.7725,0.4818,0.4087,10
ZooKeeper,4,IBk,No,Yes,0.5246,0.6250,0.7564,0.4284,0.3519,10
ZooKeeper,5,IBk,No,Yes,0.6629,0.6426,0.8022,0.5667,0.4667,10
ZooKeeper,6,IBk,No,Yes,0.6560,0.7326,0.8495,0.6249,0.5761,10
ZooKeeper,7,IBk,No,Yes,0.5565,0.6106,0.7792,0.4943,0.5702,10
ZooKeeper,8,IBk,No,Yes,0.5897,0.5800,0.7690,0.5123,0.4820,10
ZooKeeper,9,IBk,No,Yes,0.5391,0.5633,0.7599,0.4716,0.4673,10
ZooKeeper,10,IBk,No,Yes,0.5676,0.5509,0.7728,0.5119,0.5453,10
ZooKeeper,11,IBk,No,Yes,0.5378,0.6000,0.7987,0.5225,0.6063,10
ZooKeeper,12,IBk,No,Yes,0.7504,0.7180,0.8632,0.6862,0.5148,10
ZooKeeper,13,IBk,No,Yes,0.5707,0.6711,0.8395,0.5621,0.5178,10
ZooKeeper,14,IBk,No,Yes,0.5896,0.6870,0.8432,0.5817,0.5174,10
ZooKeeper,15,IBk,No,Yes,0.5716,0.5906,0.7971,0.5142,0.4925,10
ZooKeeper,16,IBk,No,Yes,0.5782,0.6192,0.8021,0.5347,0.5000,10
ZooKeeper,17,IBk,No,Yes,0.5890,0.5960,0.7997,0.5347,0.4760,10
ZooKeeper,18,IBk,No,Yes,0.5982,0.6061,0.8096,0.5478,0.4755,10
ZooKeeper,19,IBk,No,Yes,0.5620,0.5736,0.8004,0.5030,0.4245,10
ZooKeeper,20,IBk,No,Yes,0.6381,0.6736,0.8070,0.5601,0.4563,10
