Dataset,Train_Through_Release,Test_Release,Classifier,FS,Balancing,Precision,Recall,AUC,Kappa,NPofB20,Train_Instances,Test_Instances
ZooKeeper,19,20,IBk,No,Yes,1.0000,0.7500,NaN,0.0000,0.2500,7606,8
ZooKeeper,20,21,IBk,No,Yes,0.6909,0.6552,0.6039,0.2050,0.1552,8107,96
ZooKeeper,1,2,IBk,Yes,No,0.6667,0.2500,0.5417,0.0755,0.1250,209,14
ZooKeeper,2,3,IBk,Yes,No,0.4068,0.5714,0.5035,0.0065,0.1429,419,104
ZooKeeper,3,4,IBk,Yes,No,0.9286,0.8125,0.6563,0.2174,0.1875,647,18
ZooKeeper,4,5,IBk,Yes,No,0.3982,0.9574,0.5193,0.0307,0.2553,875,121
ZooKeeper,5,6,IBk,Yes,No,1.0000,0.8571,NaN,0.0000,0.2381,1144,21
ZooKeeper,6,7,IBk,Yes,No,0.6522,0.8824,0.4136,-0.1468,0.1471,1415,50
ZooKeeper,7,8,IBk,Yes,No,0.5246,0.7805,0.7183,0.4018,0.2439,1698,130
ZooKeeper,8,9,IBk,Yes,No,0.2609,0.5000,0.3913,-0.1961,0.1667,2032,35
ZooKeeper,9,10,IBk,Yes,No,0.1747,0.8056,0.5305,0.0249,0.1944,2368,220
ZooKeeper,10,11,IBk,Yes,No,0.6667,0.8235,0.6618,0.3319,0.1765,2913,31
ZooKeeper,11,12,IBk,Yes,No,0.6111,0.5500,0.6573,0.3043,0.1167,3461,144
ZooKeeper,13,14,IBk,Yes,No,0.2727,1.0000,0.5556,0.0588,0.3333,4251,12
ZooKeeper,14,15,IBk,Yes,No,0.8462,0.9167,0.6806,0.2857,0.1667,4646,15
ZooKeeper,15,16,IBk,Yes,No,0.9200,0.9583,0.7792,0.6063,0.2083,5042,29
ZooKeeper,16,17,IBk,Yes,No,0.8000,1.0000,0.9250,0.8038,0.3125,5438,41
ZooKeeper,17,18,IBk,Yes,No,0.7692,0.8333,0.7639,0.5070,0.1667,5849,21
ZooKeeper,18,19,IBk,Yes,No,0.8000,1.0000,0.7500,0.5714,0.2500,6263,12
ZooKeeper,19,20,IBk,Yes,No,1.0000,0.8750,NaN,0.0000,0.2500,6677,8
ZooKeeper,20,21,IBk,Yes,No,0.7547,0.6897,0.6776,0.3398,0.1379,7091,96
ZooKeeper,1,2,IBk,Yes,Yes,0.6667,0.2500,0.5417,0.0755,0.1250,258,14
ZooKeeper,2,3,IBk,Yes,Yes,0.4068,0.5714,0.5035,0.0065,0.1429,494,104
ZooKeeper,3,4,IBk,Yes,Yes,0.8824,0.9375,0.4688,-0.0800,0.1875,768,18
ZooKeeper,4,5,IBk,Yes,Yes,0.3947,0.9574,0.5125,0.0199,0.2340,1048,121
ZooKeeper,5,6,IBk,Yes,Yes,1.0000,0.8571,NaN,0.0000,0.2381,1371,21
ZooKeeper,6,7,IBk,Yes,Yes,0.6667,0.9412,0.4706,-0.0766,0.1765,1688,50
ZooKeeper,7,8,IBk,Yes,Yes,0.5246,0.7805,0.7227,0.4018,0.2439,2018,130
ZooKeeper,8,9,IBk,Yes,Yes,0.2500,0.5000,0.3587,-0.2281,0.1667,2402,35
ZooKeeper,9,10,IBk,Yes,Yes,0.1648,0.8056,0.5033,0.0026,0.1944,2787,220
ZooKeeper,10,11,IBk,Yes,Yes,0.6667,0.8235,0.6618,0.3319,0.1765,3385,31
ZooKeeper,11,12,IBk,Yes,Yes,0.5645,0.5833,0.6329,0.2607,0.1167,3981,144
ZooKeeper,13,14,IBk,Yes,Yes,0.2727,1.0000,0.5556,0.0588,0.3333,4877,12
ZooKeeper,14,15,IBk,Yes,Yes,0.8462,0.9167,0.6528,0.2857,0.3333,5318,15
ZooKeeper,15,16,IBk,Yes,Yes,0.9200,0.9583,0.7792,0.6063,0.2083,5767,29
ZooKeeper,16,17,IBk,Yes,Yes,0.8000,1.0000,0.9250,0.8038,0.3125,6215,41
ZooKeeper,17,18,IBk,Yes,Yes,0.6667,0.8333,0.6620,0.2899,0.1667,6676,21
ZooKeeper,18,19,IBk,Yes,Yes,0.8000,1.0000,0.7500,0.5714,0.2500,7139,12
ZooKeeper,19,20,IBk,Yes,Yes,1.0000,0.8750,NaN,0.0000,0.2500,7606,8
ZooKeeper,20,21,IBk,Yes,Yes,0.7167,0.7414,0.6572,0.2967,0.1379,8107,96
